NOME_CEDENTE,Yield_hje,Dias_Hoje,VALOR_NOMINAL_Medio,PDD_pct,Quantidade,Atraso_pct
ARC COM+RCIO DE AUTO PE¦AS LTDA,0.07554598631007202,64.45347378698663,3671.9006617647083,0.23816404490107385,272,0.4294757365652399
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,0.3583239886343479,19.194994126749933,1756.9812323943665,0.008110077115259923,284,0.03456428276121564
VICKER ACESS+RIOS PARA MOLAS LTDA,0.3952193290261654,7.9133265389712175,4001.1528571428557,0.0009340217584366963,231,0.004572102473339159
RODAROS INDUSTRIA DE RODAS LTDA,0.05788097819542438,101.93923598249413,29828.649806763286,0.06995791275343155,207,0.06547091639083158
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,0.2973889839349324,34.57225378994384,27187.38640718564,0.0001323255133832306,167,0.003984296638245152
Foco Industria de Auto Peças e Comercio EIRELI,0.23346950117876,28.048668407140326,8683.194027777774,0.00014913358915818044,72,0.006321814645687699
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,0.3480943915549333,8.307818933669555,1620.2428571428575,0.030000229891336067,14,0.5542976809858842
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,inf,0.0,3246.003333333333,0.030000194594971063,3,0.9002648539974416
FONTAINE INTERNACIONAL DO BRASIL S/A,47.44702144752583,8.0,823.2149999999998,0.029999039247640264,4,0.7015449985588715
